# ED-prefixed Z80 opcodes
#
#op|xtr| type | mnemonic    | dest | src  | summary                | description
4a | 0 | 0 | SBC  | ADC HL, BC  |   HL |   BC | HL+=BC                 | Add with carry (16bit) BC to HL
4b | 2 | 3 | LD   | LD BC, (nn) |   BC |  $nn | BC=$nn                 | Load (16bit) register BC with memory ${nn}
4c | 0 | 0 | NEG  | NEG         |      |      | A=-A                   | Negate register A (2's Compliment) (undocumented)
4d | 0 | 0 | RET  | RETI        |      |      | RETURN                 | Return from interrupt
4e | 0 | 0 | IM   | IM 0        |      |      | IM(0)                  | Set Interrupt Mode 0 (undocumented)
4f | 0 | 0 | LD   | LD R, A     |    R |    A | R=A                    | Load memory refresh register with register A
50 | 0 | 0 | IN   | IN D, (C)   |    D |  (C) | D=IN(C)                | Load register D with port (C)
51 | 0 | 0 | OUT  | OUT (C), D  |  (C) |    D | OUT(C)=D               | Load port (C) with register D
52 | 0 | 0 | SBC  | SBC HL, DE  |   HL |   DE | HL-=DE                 | Subtract with carry (16bit) DE from HL
53 | 2 | 3 | LD   | LD (nn), DE | (nn) |   DE | $nn=DE                 | Load (16bit) memory ${nn} with register DE
54 | 0 | 0 | NEG  | NEG         |      |      | A=-A                   | Negate register A (2's Compliment) (undocumented)
55 | 0 | 0 | RET  | RETN        |      |      | RETURN                 | Return from non-maskable interrupt (undocumented)
56 | 0 | 0 | IM   | IM 1        |      |      | IM(1)                  | Set Interrupt Mode 1
57 | 0 | 0 | LD   | LD A, I     |    A |    I | A=I                    | Load register A with interrupt control vector
58 | 0 | 0 | IN   | IN E, (C)   |    E |  (C) | E=IN(C)                | Load register E with port (C)
59 | 0 | 0 | OUT  | OUT (C), E  |  (C) |    E | OUT(C)=E               | Load port (C) with register E
5a | 0 | 0 | SBC  | ADC HL, DE  |   HL |   DE | HL+=DE                 | Add with carry (16bit) DE to HL
5b | 2 | 3 | LD   | LD DE, (nn) |   DE |  $nn | DE=$nn                 | Load (16bit) register DE with memory ${nn}
5c | 0 | 0 | NEG  | NEG         |      |      | A=-A                   | Negate register A (2's Compliment) (undocumented)
5d | 0 | 0 | RET  | RETI        |      |      | RETURN                 | Return from interrupt (undocumented)
5e | 0 | 0 | IM   | IM 2        |      |      | IM(2)                  | Set Interrupt Mode 2
5f | 0 | 0 | LD   | LD A, R     |    A |    R | A=R                    | Load register A with memory refresh register
60 | 0 | 0 | IN   | IN H, (C)   |    H |  (C) | H=IN(C)                | Load register H with port (C)
61 | 0 | 0 | OUT  | OUT (C), H  |  (C) |    H | OUT(C)=H               | Load port (C) with register H
62 | 0 | 0 | SBC  | SBC HL, HL  |   HL |   HL | HL-=HL                 | Subtract with carry (16bit) HL from HL
63 | 2 | 3 | LD   | LD (nn), HL | (nn) |   HL | $nn=HL                 | Load (16bit) memory ${nn} with register HL
64 | 0 | 0 | NEG  | NEG         |      |      | A=-A                   | Negate register A (2's Compliment) (undocumented)
65 | 0 | 0 | RET  | RETN        |      |      | RETURN                 | Return from non-maskable interrupt (undocumented)
66 | 0 | 0 | IM   | IM 0        |      |      | IM(0)                  | Set Interrupt Mode 0 (undocumented)
67 | 0 | 0 | RRD  | RRD         |      |      | A=$HLl,$HLl=$HLh,$HLh=A | Rotate Right Digit memory $HL (nybble rotate through A)
68 | 0 | 0 | IN   | IN L, (C)   |    L |  (C) | L=IN(C)                | Load register L with port (C)
69 | 0 | 0 | OUT  | OUT (C), L  |  (C) |    L | OUT(C)=L               | Load port (C) with register L
6a | 0 | 0 | SBC  | ADC HL, HL  |   HL |   HL | HL+=HL                 | Add with carry (16bit) HL to HL
6b | 2 | 3 | LD   | LD HL, (nn) |   HL |  $nn | HL=$nn                 | Load (16bit) register HL with memory ${nn}
6c | 0 | 0 | NEG  | NEG         |      |      | A=-A                   | Negate register A (2's Compliment) (undocumented)
6d | 0 | 0 | RET  | RETI        |      |      | RETURN                 | Return from interrupt (undocumented)
6e | 0 | 0 | IM   | IM 0        |      |      | IM(0)                  | Set Interrupt Mode 0 (undocumented)
6f | 0 | 0 | RLD  | RLD         |      |      | A=$HLh,$HLh=$HLl,$HLl=A | Rotate Left Digit memory $HL (nybble rotate through A)
70 | 0 | 0 | IN   | IN (C)      |      |  (C) | IN(C)                  | Read from port (C), only effects flags (undocumented)
71 | 0 | 0 | OUT  | OUT (C), 0  |  (C) |    H | OUT(C)=H               | Load port (C) with 0 (undocumented)
72 | 0 | 0 | SBC  | SBC HL, SP  |   HL |   SP | HL-=SP                 | Subtract with carry (16bit) SP from HL
73 | 2 | 3 | LD   | LD (nn), SP | (nn) |   SP | $nn=SP                 | Load (16bit) memory ${nn} with register SP
74 | 0 | 0 | NEG  | NEG         |      |      | A=-A                   | Negate register A (2's Compliment) (undocumented)
75 | 0 | 0 | RET  | RETN        |      |      | RETURN                 | Return from non-maskable interrupt (undocumented)
76 | 0 | 0 | IM   | IM 1        |      |      | IM(1)                  | Set Interrupt Mode 1 (undocumented)
77 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
78 | 0 | 0 | IN   | IN A, (C)   |    A |  (C) | A=IN(C)                | Load register A with port (C)
79 | 0 | 0 | OUT  | OUT (C), A  |  (C) |    A | OUT(C)=A               | Load port (C) with register A
7a | 0 | 0 | SBC  | ADC HL, SP  |   HL |   SP | HL+=SP                 | Add with carry (16bit) SP to HL
7b | 2 | 3 | LD   | LD SP, (nn) |   SP | (nn) | SP=$nn                 | Load (16bit) register SP with memory ${nn}
7c | 0 | 0 | NEG  | NEG         |      |      | A=-A                   | Negate register A (2's Compliment) (undocumented)
7d | 0 | 0 | RET  | RETI        |      |      | RETURN                 | Return from interrupt (undocumented)
7e | 0 | 0 | IM   | IM 2        |      |      | IM(2)                  | Set Interrupt Mode 2 (undocumented)
7f | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
80 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
81 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
82 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
83 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
84 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
85 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
86 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
87 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
88 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
89 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
8a | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
8b | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
8c | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
8d | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
8e | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
8f | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
90 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
91 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
92 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
93 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
94 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
95 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
96 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
97 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
98 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
99 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
9a | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
