# DDCB-prefixed Z80 opcodes
#
#op|xtr| type | mnemonic            | dest |   src  | summary                                      | description
1b | 1 | 2 | RR   | LD E, RR (IX+d)     |    E | (IX+d) | ($(IX+d),c)<rot=($(IX+d),c),E=$(IX+d)        | Rotate right though carry memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
1c | 1 | 2 | RR   | LD H, RR (IX+d)     |    H | (IX+d) | ($(IX+d),c)<rot=($(IX+d),c),H=$(IX+d)        | Rotate right though carry memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
1d | 1 | 2 | RR   | LD L, RR (IX+d)     |    L | (IX+d) | ($(IX+d),c)<rot=($(IX+d),c),L=$(IX+d)        | Rotate right though carry memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
1e | 1 | 2 | RR   | RR (IX+d)           |      |        | ($(IX+d),c)<rot=($(IX+d),c)                  | Rotate right though carry memory $(IX+{d})
1f | 1 | 2 | RR   | LD A, RR (IX+d)     |    A | (IX+d) | ($(IX+d),c)<rot=($(IX+d),c),A=$(IX+d)        | Rotate right though carry memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
20 | 1 | 2 | SLA  | LD B, SLA (IX+d)    |    B | (IX+d) | (c,$(IX+d))=($(IX+d),0)<<1,B=$(IX+d)         | Shift left-arithmetic memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
21 | 1 | 2 | SLA  | LD C, SLA (IX+d)    |    C | (IX+d) | (c,$(IX+d))=($(IX+d),0)<<1,C=$(IX+d)         | Shift left-arithmetic memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
22 | 1 | 2 | SLA  | LD D, SLA (IX+d)    |    D | (IX+d) | (c,$(IX+d))=($(IX+d),0)<<1,D=$(IX+d)         | Shift left-arithmetic memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
23 | 1 | 2 | SLA  | LD E, SLA (IX+d)    |    E | (IX+d) | (c,$(IX+d))=($(IX+d),0)<<1,E=$(IX+d)         | Shift left-arithmetic memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
24 | 1 | 2 | SLA  | LD H, SLA (IX+d)    |    H | (IX+d) | (c,$(IX+d))=($(IX+d),0)<<1,H=$(IX+d)         | Shift left-arithmetic memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
25 | 1 | 2 | SLA  | LD L, SLA (IX+d)    |    L | (IX+d) | (c,$(IX+d))=($(IX+d),0)<<1,L=$(IX+d)         | Shift left-arithmetic memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
26 | 1 | 2 | SLA  | SLA (IX+d)          |      |        | (c,$(IX+d))=($(IX+d),0)<<1                   | Shift left-arithmetic memory $(IX+{d})
27 | 1 | 2 | SLA  | LD A, SLA (IX+d)    |    A | (IX+d) | (c,$(IX+d))=($(IX+d),0)<<1,A=$(IX+d)         | Shift left-arithmetic memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
28 | 1 | 2 | SRA  | LD B, SRA (IX+d)    |    B | (IX+d) | ($(IX+d),c)=($(IX+d):8,$(IX+d))>>1,B=$(IX+d) | Shift right-arithmetic memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
29 | 1 | 2 | SRA  | LD C, SRA (IX+d)    |    C | (IX+d) | ($(IX+d),c)=($(IX+d):8,$(IX+d))>>1,C=$(IX+d) | Shift right-arithmetic memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
2a | 1 | 2 | SRA  | LD D, SRA (IX+d)    |    D | (IX+d) | ($(IX+d),c)=($(IX+d):8,$(IX+d))>>1,D=$(IX+d) | Shift right-arithmetic memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
2b | 1 | 2 | SRA  | LD E, SRA (IX+d)    |    E | (IX+d) | ($(IX+d),c)=($(IX+d):8,$(IX+d))>>1,E=$(IX+d) | Shift right-arithmetic memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
2c | 1 | 2 | SRA  | LD H, SRA (IX+d)    |    H | (IX+d) | ($(IX+d),c)=($(IX+d):8,$(IX+d))>>1,H=$(IX+d) | Shift right-arithmetic memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
2d | 1 | 2 | SRA  | LD L, SRA (IX+d)    |    L | (IX+d) | ($(IX+d),c)=($(IX+d):8,$(IX+d))>>1,L=$(IX+d) | Shift right-arithmetic memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
2e | 1 | 2 | SRA  | SRA (IX+d)          |      |        | ($(IX+d),c)=($(IX+d):8,$(IX+d))>>1           | Shift right-arithmetic memory $(IX+{d})
2f | 1 | 2 | SRA  | LD A, SRA (IX+d)    |    A | (IX+d) | ($(IX+d),c)=($(IX+d):8,$(IX+d))>>1,A=$(IX+d) | Shift right-arithmetic memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
30 | 1 | 2 | SLL  | LD B, SLL (IX+d)    |    B | (IX+d) | (c,$(IX+d))=($(IX+d),1)<<1,B=$(IX+d)         | Shift left-logical memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
31 | 1 | 2 | SLL  | LD C, SLL (IX+d)    |    C | (IX+d) | (c,$(IX+d))=($(IX+d),1)<<1,C=$(IX+d)         | Shift left-logical memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
32 | 1 | 2 | SLL  | LD D, SLL (IX+d)    |    D | (IX+d) | (c,$(IX+d))=($(IX+d),1)<<1,D=$(IX+d)         | Shift left-logical memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
33 | 1 | 2 | SLL  | LD E, SLL (IX+d)    |    E | (IX+d) | (c,$(IX+d))=($(IX+d),1)<<1,E=$(IX+d)         | Shift left-logical memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
34 | 1 | 2 | SLL  | LD H, SLL (IX+d)    |    H | (IX+d) | (c,$(IX+d))=($(IX+d),1)<<1,H=$(IX+d)         | Shift left-logical memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
35 | 1 | 2 | SLL  | LD L, SLL (IX+d)    |    L | (IX+d) | (c,$(IX+d))=($(IX+d),1)<<1,L=$(IX+d)         | Shift left-logical memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
36 | 1 | 2 | SLL  | SLL (IX+d)          |      |        | (c,$(IX+d))=($(IX+d),1)<<1                   | Shift left-logical memory $(IX+{d})
37 | 1 | 2 | SLL  | LD A, SLL (IX+d)    |    A | (IX+d) | (c,$(IX+d))=($(IX+d),1)<<1,A=$(IX+d)         | Shift left-logical memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
38 | 1 | 2 | SRL  | LD B, SRL (IX+d)    |    B | (IX+d) | ($(IX+d),c)=(0,$(IX+d))>>1,B=$(IX+d)         | Shift right-logical memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
39 | 1 | 2 | SRL  | LD C, SRL (IX+d)    |    C | (IX+d) | ($(IX+d),c)=(0,$(IX+d))>>1,C=$(IX+d)         | Shift right-logical memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
3a | 1 | 2 | SRL  | LD D, SRL (IX+d)    |    D | (IX+d) | ($(IX+d),c)=(0,$(IX+d))>>1,D=$(IX+d)         | Shift right-logical memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
3b | 1 | 2 | SRL  | LD E, SRL (IX+d)    |    E | (IX+d) | ($(IX+d),c)=(0,$(IX+d))>>1,E=$(IX+d)         | Shift right-logical memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
3c | 1 | 2 | SRL  | LD H, SRL (IX+d)    |    H | (IX+d) | ($(IX+d),c)=(0,$(IX+d))>>1,H=$(IX+d)         | Shift right-logical memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
3d | 1 | 2 | SRL  | LD L, SRL (IX+d)    |    L | (IX+d) | ($(IX+d),c)=(0,$(IX+d))>>1,L=$(IX+d)         | Shift right-logical memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
3e | 1 | 2 | SRL  | SRL (IX+d)          |      |        | ($(IX+d),c)=(0,$(IX+d))>>1                   | Shift right-logical memory $(IX+{d})
3f | 1 | 2 | SRL  | LD A, SRL (IX+d)    |    A | (IX+d) | ($(IX+d),c)=(0,$(IX+d))>>1,A=$(IX+d)         | Shift right-logical memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
40 | 1 | 2 | BIT  | BIT 0, $(IX+d)      |      |        | z=~$(IX+d):0                                 | Test bit 0 of memory $(IX+{d}) (undocumented)
41 | 1 | 2 | BIT  | BIT 0, $(IX+d)      |      |        | z=~$(IX+d):0                                 | Test bit 0 of memory $(IX+{d}) (undocumented)
42 | 1 | 2 | BIT  | BIT 0, $(IX+d)      |      |        | z=~$(IX+d):0                                 | Test bit 0 of memory $(IX+{d}) (undocumented)
43 | 1 | 2 | BIT  | BIT 0, $(IX+d)      |      |        | z=~$(IX+d):0                                 | Test bit 0 of memory $(IX+{d}) (undocumented)
44 | 1 | 2 | BIT  | BIT 0, $(IX+d)      |      |        | z=~$(IX+d):0                                 | Test bit 0 of memory $(IX+{d}) (undocumented)
45 | 1 | 2 | BIT  | BIT 0, $(IX+d)      |      |        | z=~$(IX+d):0                                 | Test bit 0 of memory $(IX+{d}) (undocumented)
46 | 1 | 2 | BIT  | BIT 0, $(IX+d)      |      |        | z=~$(IX+d):0                                 | Test bit 0 of memory $(IX+{d})
47 | 1 | 2 | BIT  | BIT 0, $(IX+d)      |      |        | z=~$(IX+d):0                                 | Test bit 0 of memory $(IX+{d}) (undocumented)
48 | 1 | 2 | BIT  | BIT 1, $(IX+d)      |      |        | z=~$(IX+d):1                                 | Test bit 1 of memory $(IX+{d}) (undocumented)
49 | 1 | 2 | BIT  | BIT 1, $(IX+d)      |      |        | z=~$(IX+d):1                                 | Test bit 1 of memory $(IX+{d}) (undocumented)
4a | 1 | 2 | BIT  | BIT 1, $(IX+d)      |      |        | z=~$(IX+d):1                                 | Test bit 1 of memory $(IX+{d}) (undocumented)
4b | 1 | 2 | BIT  | BIT 1, $(IX+d)      |      |        | z=~$(IX+d):1                                 | Test bit 1 of memory $(IX+{d}) (undocumented)
4c | 1 | 2 | BIT  | BIT 1, $(IX+d)      |      |        | z=~$(IX+d):1                                 | Test bit 1 of memory $(IX+{d}) (undocumented)
4d | 1 | 2 | BIT  | BIT 1, $(IX+d)      |      |        | z=~$(IX+d):1                                 | Test bit 1 of memory $(IX+{d}) (undocumented)
4e | 1 | 2 | BIT  | BIT 1, $(IX+d)      |      |        | z=~$(IX+d):1                                 | Test bit 1 of memory $(IX+{d})
4f | 1 | 2 | BIT  | BIT 1, $(IX+d)      |      |        | z=~$(IX+d):1                                 | Test bit 1 of memory $(IX+{d}) (undocumented)
50 | 1 | 2 | BIT  | BIT 2, $(IX+d)      |      |        | z=~$(IX+d):2                                 | Test bit 2 of memory $(IX+{d}) (undocumented)
51 | 1 | 2 | BIT  | BIT 2, $(IX+d)      |      |        | z=~$(IX+d):2                                 | Test bit 2 of memory $(IX+{d}) (undocumented)
52 | 1 | 2 | BIT  | BIT 2, $(IX+d)      |      |        | z=~$(IX+d):2                                 | Test bit 2 of memory $(IX+{d}) (undocumented)
53 | 1 | 2 | BIT  | BIT 2, $(IX+d)      |      |        | z=~$(IX+d):2                                 | Test bit 2 of memory $(IX+{d}) (undocumented)
54 | 1 | 2 | BIT  | BIT 2, $(IX+d)      |      |        | z=~$(IX+d):2                                 | Test bit 2 of memory $(IX+{d}) (undocumented)
55 | 1 | 2 | BIT  | BIT 2, $(IX+d)      |      |        | z=~$(IX+d):2                                 | Test bit 2 of memory $(IX+{d}) (undocumented)
56 | 1 | 2 | BIT  | BIT 2, $(IX+d)      |      |        | z=~$(IX+d):2                                 | Test bit 2 of memory $(IX+{d})
57 | 1 | 2 | BIT  | BIT 2, $(IX+d)      |      |        | z=~$(IX+d):2                                 | Test bit 2 of memory $(IX+{d}) (undocumented)
58 | 1 | 2 | BIT  | BIT 3, $(IX+d)      |      |        | z=~$(IX+d):3                                 | Test bit 3 of memory $(IX+{d}) (undocumented)
59 | 1 | 2 | BIT  | BIT 3, $(IX+d)      |      |        | z=~$(IX+d):3                                 | Test bit 3 of memory $(IX+{d}) (undocumented)
5a | 1 | 2 | BIT  | BIT 3, $(IX+d)      |      |        | z=~$(IX+d):3                                 | Test bit 3 of memory $(IX+{d}) (undocumented)
5b | 1 | 2 | BIT  | BIT 3, $(IX+d)      |      |        | z=~$(IX+d):3                                 | Test bit 3 of memory $(IX+{d}) (undocumented)
5c | 1 | 2 | BIT  | BIT 3, $(IX+d)      |      |        | z=~$(IX+d):3                                 | Test bit 3 of memory $(IX+{d}) (undocumented)
5d | 1 | 2 | BIT  | BIT 3, $(IX+d)      |      |        | z=~$(IX+d):3                                 | Test bit 3 of memory $(IX+{d}) (undocumented)
5e | 1 | 2 | BIT  | BIT 3, $(IX+d)      |      |        | z=~$(IX+d):3                                 | Test bit 3 of memory $(IX+{d})
5f | 1 | 2 | BIT  | BIT 3, $(IX+d)      |      |        | z=~$(IX+d):3                                 | Test bit 3 of memory $(IX+{d}) (undocumented)
60 | 1 | 2 | BIT  | BIT 4, $(IX+d)      |      |        | z=~$(IX+d):4                                 | Test bit 4 of memory $(IX+{d}) (undocumented)
61 | 1 | 2 | BIT  | BIT 4, $(IX+d)      |      |        | z=~$(IX+d):4                                 | Test bit 4 of memory $(IX+{d}) (undocumented)
62 | 1 | 2 | BIT  | BIT 4, $(IX+d)      |      |        | z=~$(IX+d):4                                 | Test bit 4 of memory $(IX+{d}) (undocumented)
63 | 1 | 2 | BIT  | BIT 4, $(IX+d)      |      |        | z=~$(IX+d):4                                 | Test bit 4 of memory $(IX+{d}) (undocumented)
64 | 1 | 2 | BIT  | BIT 4, $(IX+d)      |      |        | z=~$(IX+d):4                                 | Test bit 4 of memory $(IX+{d}) (undocumented)
65 | 1 | 2 | BIT  | BIT 4, $(IX+d)      |      |        | z=~$(IX+d):4                                 | Test bit 4 of memory $(IX+{d}) (undocumented)
66 | 1 | 2 | BIT  | BIT 4, $(IX+d)      |      |        | z=~$(IX+d):4                                 | Test bit 4 of memory $(IX+{d})
67 | 1 | 2 | BIT  | BIT 4, $(IX+d)      |      |        | z=~$(IX+d):4                                 | Test bit 4 of memory $(IX+{d}) (undocumented)
68 | 1 | 2 | BIT  | BIT 5, $(IX+d)      |      |        | z=~$(IX+d):5                                 | Test bit 5 of memory $(IX+{d}) (undocumented)
69 | 1 | 2 | BIT  | BIT 5, $(IX+d)      |      |        | z=~$(IX+d):5                                 | Test bit 5 of memory $(IX+{d}) (undocumented)
6a | 1 | 2 | BIT  | BIT 5, $(IX+d)      |      |        | z=~$(IX+d):5                                 | Test bit 5 of memory $(IX+{d}) (undocumented)
6b | 1 | 2 | BIT  | BIT 5, $(IX+d)      |      |        | z=~$(IX+d):5                                 | Test bit 5 of memory $(IX+{d}) (undocumented)
6c | 1 | 2 | BIT  | BIT 5, $(IX+d)      |      |        | z=~$(IX+d):5                                 | Test bit 5 of memory $(IX+{d}) (undocumented)
6d | 1 | 2 | BIT  | BIT 5, $(IX+d)      |      |        | z=~$(IX+d):5                                 | Test bit 5 of memory $(IX+{d}) (undocumented)
6e | 1 | 2 | BIT  | BIT 5, $(IX+d)      |      |        | z=~$(IX+d):5                                 | Test bit 5 of memory $(IX+{d})
6f | 1 | 2 | BIT  | BIT 5, $(IX+d)      |      |        | z=~$(IX+d):5                                 | Test bit 5 of memory $(IX+{d}) (undocumented)
70 | 1 | 2 | BIT  | BIT 6, $(IX+d)      |      |        | z=~$(IX+d):6                                 | Test bit 6 of memory $(IX+{d}) (undocumented)
71 | 1 | 2 | BIT  | BIT 6, $(IX+d)      |      |        | z=~$(IX+d):6                                 | Test bit 6 of memory $(IX+{d}) (undocumented)
72 | 1 | 2 | BIT  | BIT 6, $(IX+d)      |      |        | z=~$(IX+d):6                                 | Test bit 6 of memory $(IX+{d}) (undocumented)
