# DDCB-prefixed Z80 opcodes
#
#op|xtr| type | mnemonic            | dest |   src  | summary                                      | description
8c | 1 | 2 | RES  | LD H, RES 1, (IX+d) |    H | (IX+d) | $(IX+d):1=0,H=$(IX+d)                        | Reset bit 1 of memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
8d | 1 | 2 | RES  | LD L, RES 1, (IX+d) |    L | (IX+d) | $(IX+d):1=0,L=$(IX+d)                        | Reset bit 1 of memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
8e | 1 | 2 | RES  | RES 1, (IX+d)       |      |        | $(IX+d):1=0                                  | Reset bit 1 of memory $(IX+{d})
8f | 1 | 2 | RES  | LD A, RES 1, (IX+d) |    A | (IX+d) | $(IX+d):1=0,A=$(IX+d)                        | Reset bit 1 of memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
90 | 1 | 2 | RES  | LD B, RES 2, (IX+d) |    B | (IX+d) | $(IX+d):2=0,B=$(IX+d)                        | Reset bit 2 of memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
91 | 1 | 2 | RES  | LD C, RES 2, (IX+d) |    C | (IX+d) | $(IX+d):2=0,C=$(IX+d)                        | Reset bit 2 of memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
92 | 1 | 2 | RES  | LD D, RES 2, (IX+d) |    D | (IX+d) | $(IX+d):2=0,D=$(IX+d)                        | Reset bit 2 of memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
93 | 1 | 2 | RES  | LD E, RES 2, (IX+d) |    E | (IX+d) | $(IX+d):2=0,E=$(IX+d)                        | Reset bit 2 of memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
94 | 1 | 2 | RES  | LD H, RES 2, (IX+d) |    H | (IX+d) | $(IX+d):2=0,H=$(IX+d)                        | Reset bit 2 of memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
95 | 1 | 2 | RES  | LD L, RES 2, (IX+d) |    L | (IX+d) | $(IX+d):2=0,L=$(IX+d)                        | Reset bit 2 of memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
96 | 1 | 2 | RES  | RES 2, (IX+d)       |      |        | $(IX+d):2=0                                  | Reset bit 2 of memory $(IX+{d})
97 | 1 | 2 | RES  | LD A, RES 2, (IX+d) |    A | (IX+d) | $(IX+d):2=0,A=$(IX+d)                        | Reset bit 2 of memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
98 | 1 | 2 | RES  | LD B, RES 3, (IX+d) |    B | (IX+d) | $(IX+d):3=0,B=$(IX+d)                        | Reset bit 3 of memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
99 | 1 | 2 | RES  | LD C, RES 3, (IX+d) |    C | (IX+d) | $(IX+d):3=0,C=$(IX+d)                        | Reset bit 3 of memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
9a | 1 | 2 | RES  | LD D, RES 3, (IX+d) |    D | (IX+d) | $(IX+d):3=0,D=$(IX+d)                        | Reset bit 3 of memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
9b | 1 | 2 | RES  | LD E, RES 3, (IX+d) |    E | (IX+d) | $(IX+d):3=0,E=$(IX+d)                        | Reset bit 3 of memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
9c | 1 | 2 | RES  | LD H, RES 3, (IX+d) |    H | (IX+d) | $(IX+d):3=0,H=$(IX+d)                        | Reset bit 3 of memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
9d | 1 | 2 | RES  | LD L, RES 3, (IX+d) |    L | (IX+d) | $(IX+d):3=0,L=$(IX+d)                        | Reset bit 3 of memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
9e | 1 | 2 | RES  | RES 3, (IX+d)       |      |        | $(IX+d):3=0                                  | Reset bit 3 of memory $(IX+{d})
9f | 1 | 2 | RES  | LD A, RES 3, (IX+d) |    A | (IX+d) | $(IX+d):3=0,A=$(IX+d)                        | Reset bit 3 of memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
a0 | 1 | 2 | RES  | LD B, RES 4, (IX+d) |    B | (IX+d) | $(IX+d):4=0,B=$(IX+d)                        | Reset bit 4 of memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
a1 | 1 | 2 | RES  | LD C, RES 4, (IX+d) |    C | (IX+d) | $(IX+d):4=0,C=$(IX+d)                        | Reset bit 4 of memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
a2 | 1 | 2 | RES  | LD D, RES 4, (IX+d) |    D | (IX+d) | $(IX+d):4=0,D=$(IX+d)                        | Reset bit 4 of memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
a3 | 1 | 2 | RES  | LD E, RES 4, (IX+d) |    E | (IX+d) | $(IX+d):4=0,E=$(IX+d)                        | Reset bit 4 of memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
a4 | 1 | 2 | RES  | LD H, RES 4, (IX+d) |    H | (IX+d) | $(IX+d):4=0,H=$(IX+d)                        | Reset bit 4 of memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
a5 | 1 | 2 | RES  | LD L, RES 4, (IX+d) |    L | (IX+d) | $(IX+d):4=0,L=$(IX+d)                        | Reset bit 4 of memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
a6 | 1 | 2 | RES  | RES 4, (IX+d)       |      |        | $(IX+d):4=0                                  | Reset bit 4 of memory $(IX+{d})
a7 | 1 | 2 | RES  | LD A, RES 4, (IX+d) |    A | (IX+d) | $(IX+d):4=0,A=$(IX+d)                        | Reset bit 4 of memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
a8 | 1 | 2 | RES  | LD B, RES 5, (IX+d) |    B | (IX+d) | $(IX+d):5=0,B=$(IX+d)                        | Reset bit 5 of memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
a9 | 1 | 2 | RES  | LD C, RES 5, (IX+d) |    C | (IX+d) | $(IX+d):5=0,C=$(IX+d)                        | Reset bit 5 of memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
aa | 1 | 2 | RES  | LD D, RES 5, (IX+d) |    D | (IX+d) | $(IX+d):5=0,D=$(IX+d)                        | Reset bit 5 of memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
ab | 1 | 2 | RES  | LD E, RES 5, (IX+d) |    E | (IX+d) | $(IX+d):5=0,E=$(IX+d)                        | Reset bit 5 of memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
ac | 1 | 2 | RES  | LD H, RES 5, (IX+d) |    H | (IX+d) | $(IX+d):5=0,H=$(IX+d)                        | Reset bit 5 of memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
ad | 1 | 2 | RES  | LD L, RES 5, (IX+d) |    L | (IX+d) | $(IX+d):5=0,L=$(IX+d)                        | Reset bit 5 of memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
ae | 1 | 2 | RES  | RES 5, (IX+d)       |      |        | $(IX+d):5=0                                  | Reset bit 5 of memory $(IX+{d})
af | 1 | 2 | RES  | LD A, RES 5, (IX+d) |    A | (IX+d) | $(IX+d):5=0,A=$(IX+d)                        | Reset bit 5 of memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
b0 | 1 | 2 | RES  | LD B, RES 6, (IX+d) |    B | (IX+d) | $(IX+d):6=0,B=$(IX+d)                        | Reset bit 6 of memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
b1 | 1 | 2 | RES  | LD C, RES 6, (IX+d) |    C | (IX+d) | $(IX+d):6=0,C=$(IX+d)                        | Reset bit 6 of memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
b2 | 1 | 2 | RES  | LD D, RES 6, (IX+d) |    D | (IX+d) | $(IX+d):6=0,D=$(IX+d)                        | Reset bit 6 of memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
b3 | 1 | 2 | RES  | LD E, RES 6, (IX+d) |    E | (IX+d) | $(IX+d):6=0,E=$(IX+d)                        | Reset bit 6 of memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
b4 | 1 | 2 | RES  | LD H, RES 6, (IX+d) |    H | (IX+d) | $(IX+d):6=0,H=$(IX+d)                        | Reset bit 6 of memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
b5 | 1 | 2 | RES  | LD L, RES 6, (IX+d) |    L | (IX+d) | $(IX+d):6=0,L=$(IX+d)                        | Reset bit 6 of memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
b6 | 1 | 2 | RES  | RES 6, (IX+d)       |      |        | $(IX+d):6=0                                  | Reset bit 6 of memory $(IX+{d})
b7 | 1 | 2 | RES  | LD A, RES 6, (IX+d) |    A | (IX+d) | $(IX+d):6=0,A=$(IX+d)                        | Reset bit 6 of memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
b8 | 1 | 2 | RES  | LD B, RES 7, (IX+d) |    B | (IX+d) | $(IX+d):7=0,B=$(IX+d)                        | Reset bit 7 of memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
b9 | 1 | 2 | RES  | LD C, RES 7, (IX+d) |    C | (IX+d) | $(IX+d):7=0,C=$(IX+d)                        | Reset bit 7 of memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
ba | 1 | 2 | RES  | LD D, RES 7, (IX+d) |    D | (IX+d) | $(IX+d):7=0,D=$(IX+d)                        | Reset bit 7 of memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
bb | 1 | 2 | RES  | LD E, RES 7, (IX+d) |    E | (IX+d) | $(IX+d):7=0,E=$(IX+d)                        | Reset bit 7 of memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
bc | 1 | 2 | RES  | LD H, RES 7, (IX+d) |    H | (IX+d) | $(IX+d):7=0,H=$(IX+d)                        | Reset bit 7 of memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
bd | 1 | 2 | RES  | LD L, RES 7, (IX+d) |    L | (IX+d) | $(IX+d):7=0,L=$(IX+d)                        | Reset bit 7 of memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
be | 1 | 2 | RES  | RES 7, (IX+d)       |      |        | $(IX+d):7=0                                  | Reset bit 7 of memory $(IX+{d})
bf | 1 | 2 | RES  | LD A, RES 7, (IX+d) |    A | (IX+d) | $(IX+d):7=0,A=$(IX+d)                        | Reset bit 7 of memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
c0 | 1 | 2 | SET  | LD B, SET 0, (IX+d) |    B | (IX+d) | $(IX+d):0=1,B=$(IX+d)                        | Set bit 0 of memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
c1 | 1 | 2 | SET  | LD C, SET 0, (IX+d) |    C | (IX+d) | $(IX+d):0=1,C=$(IX+d)                        | Set bit 0 of memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
c2 | 1 | 2 | SET  | LD D, SET 0, (IX+d) |    D | (IX+d) | $(IX+d):0=1,D=$(IX+d)                        | Set bit 0 of memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
c3 | 1 | 2 | SET  | LD E, SET 0, (IX+d) |    E | (IX+d) | $(IX+d):0=1,E=$(IX+d)                        | Set bit 0 of memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
c4 | 1 | 2 | SET  | LD H, SET 0, (IX+d) |    H | (IX+d) | $(IX+d):0=1,H=$(IX+d)                        | Set bit 0 of memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
c5 | 1 | 2 | SET  | LD L, SET 0, (IX+d) |    L | (IX+d) | $(IX+d):0=1,L=$(IX+d)                        | Set bit 0 of memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
c6 | 1 | 2 | SET  | SET 0, (IX+d)       |      |        | $(IX+d):0=1                                  | Set bit 0 of memory $(IX+{d})
c7 | 1 | 2 | SET  | LD A, SET 0, (IX+d) |    A | (IX+d) | $(IX+d):0=1,A=$(IX+d)                        | Set bit 0 of memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
c8 | 1 | 2 | SET  | LD B, SET 1, (IX+d) |    B | (IX+d) | $(IX+d):1=1,B=$(IX+d)                        | Set bit 1 of memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
c9 | 1 | 2 | SET  | LD C, SET 1, (IX+d) |    C | (IX+d) | $(IX+d):1=1,C=$(IX+d)                        | Set bit 1 of memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
ca | 1 | 2 | SET  | LD D, SET 1, (IX+d) |    D | (IX+d) | $(IX+d):1=1,D=$(IX+d)                        | Set bit 1 of memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
cb | 1 | 2 | SET  | LD E, SET 1, (IX+d) |    E | (IX+d) | $(IX+d):1=1,E=$(IX+d)                        | Set bit 1 of memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
cc | 1 | 2 | SET  | LD H, SET 1, (IX+d) |    H | (IX+d) | $(IX+d):1=1,H=$(IX+d)                        | Set bit 1 of memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
cd | 1 | 2 | SET  | LD L, SET 1, (IX+d) |    L | (IX+d) | $(IX+d):1=1,L=$(IX+d)                        | Set bit 1 of memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
ce | 1 | 2 | SET  | SET 1, (IX+d)       |      |        | $(IX+d):1=1                                  | Set bit 1 of memory $(IX+{d})
cf | 1 | 2 | SET  | LD A, SET 1, (IX+d) |    A | (IX+d) | $(IX+d):1=1,A=$(IX+d)                        | Set bit 1 of memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
d0 | 1 | 2 | SET  | LD B, SET 2, (IX+d) |    B | (IX+d) | $(IX+d):2=1,B=$(IX+d)                        | Set bit 2 of memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
d1 | 1 | 2 | SET  | LD C, SET 2, (IX+d) |    C | (IX+d) | $(IX+d):2=1,C=$(IX+d)                        | Set bit 2 of memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
d2 | 1 | 2 | SET  | LD D, SET 2, (IX+d) |    D | (IX+d) | $(IX+d):2=1,D=$(IX+d)                        | Set bit 2 of memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
d3 | 1 | 2 | SET  | LD E, SET 2, (IX+d) |    E | (IX+d) | $(IX+d):2=1,E=$(IX+d)                        | Set bit 2 of memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
d4 | 1 | 2 | SET  | LD H, SET 2, (IX+d) |    H | (IX+d) | $(IX+d):2=1,H=$(IX+d)                        | Set bit 2 of memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
d5 | 1 | 2 | SET  | LD L, SET 2, (IX+d) |    L | (IX+d) | $(IX+d):2=1,L=$(IX+d)                        | Set bit 2 of memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
d6 | 1 | 2 | SET  | SET 2, (IX+d)       |      |        | $(IX+d):2=1                                  | Set bit 2 of memory $(IX+{d})
d7 | 1 | 2 | SET  | LD A, SET 2, (IX+d) |    A | (IX+d) | $(IX+d):2=1,A=$(IX+d)                        | Set bit 2 of memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
d8 | 1 | 2 | SET  | LD B, SET 3, (IX+d) |    B | (IX+d) | $(IX+d):3=1,B=$(IX+d)                        | Set bit 3 of memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
d9 | 1 | 2 | SET  | LD C, SET 3, (IX+d) |    C | (IX+d) | $(IX+d):3=1,C=$(IX+d)                        | Set bit 3 of memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
da | 1 | 2 | SET  | LD D, SET 3, (IX+d) |    D | (IX+d) | $(IX+d):3=1,D=$(IX+d)                        | Set bit 3 of memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
db | 1 | 2 | SET  | LD E, SET 3, (IX+d) |    E | (IX+d) | $(IX+d):3=1,E=$(IX+d)                        | Set bit 3 of memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
dc | 1 | 2 | SET  | LD H, SET 3, (IX+d) |    H | (IX+d) | $(IX+d):3=1,H=$(IX+d)                        | Set bit 3 of memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
dd | 1 | 2 | SET  | LD L, SET 3, (IX+d) |    L | (IX+d) | $(IX+d):3=1,L=$(IX+d)                        | Set bit 3 of memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
de | 1 | 2 | SET  | SET 3, (IX+d)       |      |        | $(IX+d):3=1                                  | Set bit 3 of memory $(IX+{d})
df | 1 | 2 | SET  | LD A, SET 3, (IX+d) |    A | (IX+d) | $(IX+d):3=1,A=$(IX+d)                        | Set bit 3 of memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
e0 | 1 | 2 | SET  | LD B, SET 4, (IX+d) |    B | (IX+d) | $(IX+d):4=1,B=$(IX+d)                        | Set bit 4 of memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
e1 | 1 | 2 | SET  | LD C, SET 4, (IX+d) |    C | (IX+d) | $(IX+d):4=1,C=$(IX+d)                        | Set bit 4 of memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
e2 | 1 | 2 | SET  | LD D, SET 4, (IX+d) |    D | (IX+d) | $(IX+d):4=1,D=$(IX+d)                        | Set bit 4 of memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
e3 | 1 | 2 | SET  | LD E, SET 4, (IX+d) |    E | (IX+d) | $(IX+d):4=1,E=$(IX+d)                        | Set bit 4 of memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
e4 | 1 | 2 | SET  | LD H, SET 4, (IX+d) |    H | (IX+d) | $(IX+d):4=1,H=$(IX+d)                        | Set bit 4 of memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
e5 | 1 | 2 | SET  | LD L, SET 4, (IX+d) |    L | (IX+d) | $(IX+d):4=1,L=$(IX+d)                        | Set bit 4 of memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
e6 | 1 | 2 | SET  | SET 4, (IX+d)       |      |        | $(IX+d):4=1                                  | Set bit 4 of memory $(IX+{d})
e7 | 1 | 2 | SET  | LD A, SET 4, (IX+d) |    A | (IX+d) | $(IX+d):4=1,A=$(IX+d)                        | Set bit 4 of memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
e8 | 1 | 2 | SET  | LD B, SET 5, (IX+d) |    B | (IX+d) | $(IX+d):5=1,B=$(IX+d)                        | Set bit 5 of memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
e9 | 1 | 2 | SET  | LD C, SET 5, (IX+d) |    C | (IX+d) | $(IX+d):5=1,C=$(IX+d)                        | Set bit 5 of memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
ea | 1 | 2 | SET  | LD D, SET 5, (IX+d) |    D | (IX+d) | $(IX+d):5=1,D=$(IX+d)                        | Set bit 5 of memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
eb | 1 | 2 | SET  | LD E, SET 5, (IX+d) |    E | (IX+d) | $(IX+d):5=1,E=$(IX+d)                        | Set bit 5 of memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
ec | 1 | 2 | SET  | LD H, SET 5, (IX+d) |    H | (IX+d) | $(IX+d):5=1,H=$(IX+d)                        | Set bit 5 of memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
ed | 1 | 2 | SET  | LD L, SET 5, (IX+d) |    L | (IX+d) | $(IX+d):5=1,L=$(IX+d)                        | Set bit 5 of memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
ee | 1 | 2 | SET  | SET 5, (IX+d)       |      |        | $(IX+d):5=1                                  | Set bit 5 of memory $(IX+{d})
ef | 1 | 2 | SET  | LD A, SET 5, (IX+d) |    A | (IX+d) | $(IX+d):5=1,A=$(IX+d)                        | Set bit 5 of memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
f0 | 1 | 2 | SET  | LD B, SET 6, (IX+d) |    B | (IX+d) | $(IX+d):6=1,B=$(IX+d)                        | Set bit 6 of memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
f1 | 1 | 2 | SET  | LD C, SET 6, (IX+d) |    C | (IX+d) | $(IX+d):6=1,C=$(IX+d)                        | Set bit 6 of memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
f2 | 1 | 2 | SET  | LD D, SET 6, (IX+d) |    D | (IX+d) | $(IX+d):6=1,D=$(IX+d)                        | Set bit 6 of memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
f3 | 1 | 2 | SET  | LD E, SET 6, (IX+d) |    E | (IX+d) | $(IX+d):6=1,E=$(IX+d)                        | Set bit 6 of memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
f4 | 1 | 2 | SET  | LD H, SET 6, (IX+d) |    H | (IX+d) | $(IX+d):6=1,H=$(IX+d)                        | Set bit 6 of memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
f5 | 1 | 2 | SET  | LD L, SET 6, (IX+d) |    L | (IX+d) | $(IX+d):6=1,L=$(IX+d)                        | Set bit 6 of memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
f6 | 1 | 2 | SET  | SET 6, (IX+d)       |      |        | $(IX+d):6=1                                  | Set bit 6 of memory $(IX+{d})
f7 | 1 | 2 | SET  | LD A, SET 6, (IX+d) |    A | (IX+d) | $(IX+d):6=1,A=$(IX+d)                        | Set bit 6 of memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
f8 | 1 | 2 | SET  | LD B, SET 7, (IX+d) |    B | (IX+d) | $(IX+d):7=1,B=$(IX+d)                        | Set bit 7 of memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
f9 | 1 | 2 | SET  | LD C, SET 7, (IX+d) |    C | (IX+d) | $(IX+d):7=1,C=$(IX+d)                        | Set bit 7 of memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
fa | 1 | 2 | SET  | LD D, SET 7, (IX+d) |    D | (IX+d) | $(IX+d):7=1,D=$(IX+d)                        | Set bit 7 of memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
fb | 1 | 2 | SET  | LD E, SET 7, (IX+d) |    E | (IX+d) | $(IX+d):7=1,E=$(IX+d)                        | Set bit 7 of memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
fc | 1 | 2 | SET  | LD H, SET 7, (IX+d) |    H | (IX+d) | $(IX+d):7=1,H=$(IX+d)                        | Set bit 7 of memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
fd | 1 | 2 | SET  | LD L, SET 7, (IX+d) |    L | (IX+d) | $(IX+d):7=1,L=$(IX+d)                        | Set bit 7 of memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
fe | 1 | 2 | SET  | SET 7, (IX+d)       |      |        | $(IX+d):7=1                                  | Set bit 7 of memory $(IX+{d})
ff | 1 | 2 | SET  | LD A, SET 7, (IX+d) |    A | (IX+d) | $(IX+d):7=1,A=$(IX+d)                        | Set bit 7 of memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
